BondIdx,CashflowDate,t_years,DiscountFactor_NS,r_t_NS,Cashflow
0,2025-02-28,0.00821917808219178,0.9996445744283569,0.04325113128434371,101.375
1,2025-02-28,0.00821917808219178,0.9996445744283569,0.04325113128434371,102.3125
2,2025-02-28,0.00821917808219178,0.9996445744283569,0.04325113128434371,100.5625
3,2025-03-15,0.049315068493150684,0.9978734899349269,0.04316681215619947,100.875
4,2025-03-31,0.09315068493150686,0.9959951647769392,0.04307940466460997,100.25
5,2025-03-31,0.09315068493150686,0.9959951647769392,0.04307940466460997,101.9375
6,2025-03-31,0.09315068493150686,0.9959951647769392,0.04307940466460997,101.3125
7,2025-04-15,0.13424657534246576,0.9942440548997646,0.04299978885678544,101.3125
8,2025-04-30,0.17534246575342466,0.9925021338249762,0.04292238301295546,101.4375
9,2025-04-30,0.17534246575342466,0.9925021338249762,0.04292238301295546,100.1875
10,2025-04-30,0.17534246575342466,0.9925021338249762,0.04292238301295546,101.9375
11,2025-05-15,0.21643835616438356,0.9907691030714064,0.04284714519754415,101.0625
12,2025-05-15,0.21643835616438356,0.9907691030714064,0.04284714519754415,101.375
13,2025-05-31,0.2602739726027397,0.9889300096851715,0.04276923475539375,101.4375
14,2025-05-31,0.2602739726027397,0.9889300096851715,0.04276923475539375,102.125
15,2025-05-31,0.2602739726027397,0.9889300096851715,0.04276923475539375,100.125
16,2025-06-15,0.3013698630136986,0.9872144434569292,0.04269834773485666,101.4375
17,2025-06-30,0.3424657534246575,0.9855069054023035,0.0426295045973509,100.125
18,2025-06-30,0.3424657534246575,0.9855069054023035,0.0426295045973509,102.3125
19,2025-06-30,0.3424657534246575,0.9855069054023035,0.0426295045973509,101.375
20,2025-07-15,0.3835616438356164,0.9838071309810695,0.04256266627361065,101.5
21,2025-07-31,0.4273972602739726,0.9820023063921546,0.04249353856551482,101.4375
22,2025-07-31,0.4273972602739726,0.9820023063921546,0.04249353856551482,100.125
23,2025-07-31,0.4273972602739726,0.9820023063921546,0.04249353856551482,102.375
24,2025-08-15,0.4684931506849315,0.9803177718187082,0.04243072260612041,103.4375
25,2025-08-15,0.4684931506849315,0.9803177718187082,0.04243072260612041,101.5625
